ID,species,numbers,Tm,sigma
1,IrPtRuRhAg,66776,2171.816,85.17309735
2,IrPtRuRhAg,76667,,36.97752217
3,IrPtRuRhAg,67676,,138.2354737
4,IrPtRuRhAg,77666,,99.65134539
5,IrPtRuRhAg,76766,,194.5299852
6,IrPtRuRhAg,76676,,96.89501488
7,IrPtRuRhAg,67766,,170.1160846
8,IrPtRuRhAg,67667,,32.06683236
9,IrPtRuRhAg,66767,,82.7257079
10,IrPtRuRhAg,66677,,32.42308861
11,IrPtRuRhFe,77666,2287.06,7.862757481
12,IrPtRuRhFe,76766,,6.76599094
13,IrPtRuRhFe,66776,,6.950036458
14,IrPtRuRhFe,76676,,7.788565273
15,IrPtRuRhFe,76667,,6.770777278
16,IrPtRuRhFe,67766,,6.636602901
17,IrPtRuRhFe,67676,,7.441398038
18,IrPtRuRhFe,67667,,6.444710845
19,IrPtRuRhFe,66767,,6.17654262
20,IrPtRuRhFe,66677,,6.500085499
21,IrPtRuAgFe,77666,2086.616,93.00460818
22,IrPtRuAgFe,76766,,40.44068423
23,IrPtRuAgFe,66776,,147.8561929
24,IrPtRuAgFe,76676,,140.6660981
25,IrPtRuAgFe,76667,,151.3682098
26,IrPtRuAgFe,67766,,45.1608008
27,IrPtRuAgFe,67676,,132.297923
28,IrPtRuAgFe,67667,,63.76062971
29,IrPtRuAgFe,66767,,625.1846206
30,IrPtRuAgFe,66677,,46.03970472
31,IrPtRhAgFe,77666,2012.616,9.549248096
32,IrPtRhAgFe,76766,,9.389551147
33,IrPtRhAgFe,66776,,7.695246668
34,IrPtRhAgFe,76676,,8.017205577
35,IrPtRhAgFe,76667,,9.053679453
36,IrPtRhAgFe,67766,,9.621673465
37,IrPtRhAgFe,67676,,8.432148602
38,IrPtRhAgFe,67667,,7.743144383
39,IrPtRhAgFe,66767,,7.985696209
40,IrPtRhAgFe,66677,,7.412056925
41,IrRuRhAgFe,77666,2125.756,36.34029011
42,IrRuRhAgFe,76766,,208.4043348
43,IrRuRhAgFe,66776,,82.05590717
44,IrRuRhAgFe,76676,,114.0295162
45,IrRuRhAgFe,76667,,272.6170969
46,IrRuRhAgFe,67766,,64.82890766
47,IrRuRhAgFe,67676,,413.1414068
48,IrRuRhAgFe,67667,,528.6295529
49,IrRuRhAgFe,66767,,62.07122309
50,IrRuRhAgFe,66677,,54.62626868
51,PtRuRhAgFe,77666,1986.216,35.83116088
52,PtRuRhAgFe,76766,,90.12950871
53,PtRuRhAgFe,66776,,120.7880448
54,PtRuRhAgFe,76676,,389.8560162
55,PtRuRhAgFe,76667,,96.99127274
56,PtRuRhAgFe,67766,,55.31977053
57,PtRuRhAgFe,67676,,646.5428031
58,PtRuRhAgFe,67667,,94.88397791
59,PtRuRhAgFe,66767,,81.271245
60,PtRuRhAgFe,66677,,64.29984156
